Year,Identity,Total,Citizen,Registered,Voted,RegFraction,VotedFraction
2016,YoungMale,56086,48961,29918,24192,0.611057781,0.494107555
2016,OldMale,62403,58593,43843,39609,0.748263444,0.676002253
2016,YoungFemale,56933,50560,33617,28362,0.664893196,0.560957278
2016,OldFemale,70080,65944,50218,45374,0.76152493,0.688068664
2016,YoungWhiteMale,31745,30988,20363,16735,0.657125339,0.54004776
2016,OldWhiteMale,44765,44080,34055,31048,0.772572595,0.704355717
2016,YoungWhiteFemale,31648,30853,21402,18251,0.693676466,0.591547013
2016,OldWhiteFemale,49237,48529,38331,34815,0.789857611,0.717406087
2016,YoungNonWhiteMale,24341,17973,9555,7457,0.53163078,0.414900128
2016,OldNonWhiteMale,17638,14513,9788,8561,0.674429822,0.589884931
2016,YoungNonWhiteFemale,25285,19707,12215,10111,0.619830517,0.513066423
2016,OldNonWhiteFemale,20843,17415,11887,10559,0.682572495,0.606316394
2018,YoungMale,56896,50186,28465,20056,0.567190053,0.399633364
2018,OldMale,63677,59820,43260,36907,0.723169509,0.616967569
2018,YoungFemale,57650,51448,31500,23257,0.612268698,0.452048671
2018,OldFemale,71526,67378,49840,42061,0.739707323,0.624254208
2018,YoungWhiteMale,31508,30766,19119,13555,0.62143275,0.440583761
2018,OldWhiteMale,45088,44574,33570,28971,0.753129627,0.649952887
2018,YoungWhiteFemale,31527,30816,19963,14792,0.647812825,0.480010384
2018,OldWhiteFemale,49487,48826,37401,31756,0.766005817,0.650391185
2018,YoungNonWhiteMale,25388,19420,9346,6501,0.481256437,0.334757981
2018,OldNonWhiteMale,18589,15246,9690,7936,0.635576545,0.520529975
2018,YoungNonWhiteFemale,25388,19420,9346,6501,0.481256437,0.334757981
2018,OldNonWhiteFemale,22039,18552,12439,10305,0.670493747,0.555465718
